n,th_rzf,opt_set_size,opt_ept,num_opt_sets,one_opt_set
3,3.0,1,2.0,7,[0]
4,3.0,2,1.0,2,"[2, 0]"
5,4.0,2,2.0,10,"[2, 0]"
6,4.0,3,1.0,2,"[4, 2, 0]"
7,5.0,3,2.0,14,"[4, 2, 0]"
8,5.0,4,1.0,2,"[6, 4, 2, 0]"
9,5.628571,3,2.628571,3,"[6, 3, 0]"
10,6.0,5,1.0,2,"[8, 6, 4, 2, 0]"
11,6.604927,3,3.604927,11,"[7, 3, 0]"
12,6.796639,4,2.796639,3,"[9, 6, 3, 0]"
13,7.317653,4,3.317653,13,"[9, 6, 3, 0]"
14,7.664885,4,3.664885,21,"[10, 6, 3, 0]"
